ID,Name,Team,Pos,Price,22_pts_no_prob,22_prob,22_with_prob,23_pts_no_prob,23_prob,23_with_prob,24_pts_no_prob,24_prob,24_with_prob,25_pts_no_prob,25_prob,25_with_prob,26_pts_no_prob,26_prob,26_with_prob,27_pts_no_prob,27_prob,27_with_prob,28_pts_no_prob,28_prob,28_with_prob,29_pts_no_prob,29_prob,29_with_prob,30_pts_no_prob,30_prob,30_with_prob,31_pts_no_prob,31_prob,31_with_prob,32_pts_no_prob,32_prob,32_with_prob,33_pts_no_prob,33_prob,33_with_prob,34_pts_no_prob,34_prob,34_with_prob,35_pts_no_prob,35_prob,35_with_prob,36_pts_no_prob,36_prob,36_with_prob,37_pts_no_prob,37_prob,37_with_prob,38_pts_no_prob,38_prob,38_with_prob,tba_pts_no_prob,tba_prob,tba_with_prob
183,Weghorst,BUR,FWD,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Zaroury,BUR,MID,4.7,1.58716,0.06352,0.10082,1.86768,0.06352,0.11863,1.63012,0.06352,0.10354,1.7075,0.06352,0.10846,1.69657,0.06352,0.10777,1.867,0.06352,0.11859,1.71807,0.06352,0.10913,1.77527,0.06352,0.11276,1.6716,0.06352,0.10618,1.79435,0.06352,0.11398,1.72203,0.06352,0.10938,1.7561,0.06352,0.11155,1.78629,0.06352,0.11346,1.72641,0.06352,0.10966,1.84328,0.06352,0.11708,1.71458,0.06352,0.10891,1.84061,0.06352,0.11692,0,0,0
185,Ampadu,CHE,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Andrey,CHE,MID,4.3,1.16494,0.01551,0.01807,1.25633,0.01551,0.01949,1.20192,0.01551,0.01864,1.14104,0.01551,0.0177,1.22816,0.01551,0.01905,1.23314,0.01551,0.01913,1.28356,0.01551,0.01991,1.16848,0.01551,0.01813,1.26809,0.01551,0.01967,1.26353,0.01551,0.0196,1.25185,0.01551,0.01942,1.2661,0.01551,0.01964,1.20782,0.01551,0.01874,1.18132,0.01551,0.01832,1.25406,0.01551,0.01945,1.24778,0.01551,0.01936,1.29676,0.01551,0.02012,0,0,0
187,Arrizabalaga,CHE,GK,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Aubameyang,CHE,FWD,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Azpilicueta,CHE,DEF,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Baba,CHE,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,B.Badiashile,CHE,DEF,4.4,1.75638,0.48058,0.84408,2.90057,0.48058,1.39396,2.9039,0.48058,1.39556,1.93008,0.48058,0.92756,2.54866,0.48058,1.22484,2.57207,0.48058,1.23609,2.82246,0.48058,1.35642,2.11967,0.48058,1.01868,3.20371,0.48058,1.53964,2.79514,0.48058,1.34329,2.62474,0.48058,1.2614,3.11018,0.48058,1.4947,2.36653,0.48058,1.13731,2.33778,0.48058,1.12349,2.90258,0.48058,1.39492,2.96724,0.48058,1.426,2.94822,0.48058,1.41686,0,0,0
192,Bettinelli,CHE,GK,4,2.9998,0.002,0.006,2.90323,0.002,0.00581,3.00762,0.002,0.00602,2.5926,0.002,0.00519,2.86862,0.002,0.00574,2.87407,0.002,0.00575,2.84161,0.002,0.00568,2.90337,0.002,0.00581,2.97904,0.002,0.00596,3.09695,0.002,0.00619,2.96631,0.002,0.00593,3.14707,0.002,0.0063,3.03819,0.002,0.00608,2.82989,0.002,0.00566,3.19546,0.002,0.00639,3.03036,0.002,0.00606,2.9796,0.002,0.00596,0,0,0
193,Broja,CHE,FWD,4.9,1.94714,0.93276,1.81623,2.23044,0.93276,2.08048,2.09365,0.93276,1.95288,2.07294,0.93276,1.93356,2.26561,0.93276,2.11328,2.14612,0.93276,2.00182,2.41877,0.93276,2.25614,2.02154,0.93276,1.88562,2.43554,0.93276,2.27178,2.26716,0.93276,2.11473,2.31237,0.93276,2.1569,2.33402,0.93276,2.17709,2.22849,0.93276,2.07865,2.20275,0.93276,2.05464,2.34547,0.93276,2.18777,2.24635,0.93276,2.09531,2.20572,0.93276,2.05741,0,0,0
194,Chalobah,CHE,DEF,4.3,1.2121,0.29266,0.35473,2.01624,0.6042,1.21821,2.00073,0.78592,1.57242,1.27484,0.83955,1.07029,1.73593,0.85782,1.48912,1.75339,0.85782,1.50409,1.94003,0.85782,1.66419,1.41617,0.85782,1.21482,2.22421,0.85782,1.90797,1.91966,0.85782,1.64672,1.79265,0.85782,1.53777,2.15449,0.85782,1.84817,1.60017,0.85782,1.37266,1.57874,0.85782,1.35428,1.99974,0.85782,1.71542,2.04794,0.85782,1.75676,2.03376,0.85782,1.7446,0,0,0
195,Chilwell,CHE,DEF,5.4,1.30218,0.92722,1.2074,2.46437,0.92722,2.285,2.4831,0.92722,2.30237,1.51082,0.92722,1.40086,2.19443,0.92722,2.03471,2.21878,0.92722,2.05729,2.47915,0.92722,2.29871,1.74834,0.92722,1.62109,2.87559,0.92722,2.6663,2.45074,0.92722,2.27237,2.27355,0.92722,2.10807,2.77834,0.92722,2.57612,2.00504,0.92722,1.8591,1.97514,0.92722,1.83138,2.56246,0.92722,2.37595,2.62969,0.92722,2.4383,2.60991,0.92722,2.41996,0,0,0
196,Chukwuemeka,CHE,MID,4.2,0.88335,0.8837,0.78062,0.99812,0.8837,0.88204,0.97516,0.8837,0.86175,0.9461,0.8837,0.83607,1.05684,0.8837,0.93393,1.06154,0.8837,0.93808,1.10916,0.8837,0.98017,1.00046,0.8837,0.88411,1.09455,0.8837,0.96726,1.09024,0.8837,0.96345,1.07921,0.8837,0.9537,1.09267,0.8837,0.96559,1.03762,0.8837,0.91694,1.01259,0.8837,0.89483,1.0813,0.8837,0.95555,1.07537,0.8837,0.95031,1.12163,0.8837,0.99119,0,0,0
197,Colwill,CHE,DEF,4.7,1.93396,0.92493,1.78877,3.19051,0.92493,2.951,3.25009,0.92493,3.00611,2.26118,0.92493,2.09144,2.93293,0.92493,2.71276,2.95786,0.92493,2.73582,3.22445,0.92493,2.98239,2.47621,0.92493,2.29032,3.63035,0.92493,3.35782,3.19536,0.92493,2.95548,3.01394,0.92493,2.78768,3.53077,0.92493,3.26572,2.73902,0.92493,2.53341,2.70841,0.92493,2.50509,3.30974,0.92493,3.06128,3.37858,0.92493,3.12495,3.35833,0.92493,3.10622,0,0,0
198,Cucurella,CHE,DEF,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27779,0.01,0.02278,2.51352,0.68604,1.72437,1.85187,0.8051,1.49094,2.87246,0.83335,2.39376,2.4878,0.83335,2.07321,2.32738,0.84806,1.97374,2.7844,0.84806,2.36133,2.08427,0.84806,1.76758,2.05721,0.84806,1.74462,2.58895,0.84806,2.19557,2.64983,0.84806,2.2472,2.63192,0.84806,2.23201,0,0,0
199,Enzo,CHE,MID,4.8,3.62131,0.91422,3.31069,4.15552,0.91422,3.79907,3.89199,0.91422,3.55814,3.59307,0.91422,3.28487,4.05108,0.91422,3.70359,4.07833,0.91422,3.7285,4.35419,0.91422,3.9807,3.72453,0.91422,3.40505,4.26956,0.91422,3.90333,4.24458,0.91422,3.8805,4.18067,0.91422,3.82206,4.25864,0.91422,3.89335,3.93976,0.91422,3.60182,3.79478,0.91422,3.46927,4.19281,0.91422,3.83317,4.15845,0.91422,3.80175,4.4264,0.91422,4.04672,0,0,0
200,D.D.Fofana,BUR,FWD,5,1.18167,0.17887,0.21137,1.56141,0.17887,0.2793,1.15811,0.17887,0.20716,1.19693,0.17887,0.2141,1.21121,0.17887,0.21665,1.27538,0.17887,0.22813,1.35371,0.17887,0.24214,1.26042,0.17887,0.22546,1.2324,0.17887,0.22044,1.3327,0.17887,0.23839,1.4345,0.17887,0.2566,1.31808,0.17887,0.23577,1.352,0.17887,0.24184,1.23957,0.17887,0.22173,1.42843,0.17887,0.25551,1.3382,0.17887,0.23937,1.58623,0.17887,0.28374,0,0,0
201,W.Fofana,CHE,DEF,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Gallagher,CHE,MID,5.4,3.02162,0.93769,2.83334,3.42114,0.93769,3.20796,3.18976,0.93769,2.991,2.95505,0.93769,2.77092,3.33883,0.93769,3.13078,3.36004,0.93769,3.15066,3.57471,0.93769,3.35196,3.0847,0.93769,2.89249,3.50885,0.93769,3.29021,3.48942,0.93769,3.27198,3.43968,0.93769,3.22534,3.50036,0.93769,3.28224,3.2522,0.93769,3.04954,3.13937,0.93769,2.94375,3.44913,0.93769,3.2342,3.42239,0.93769,3.20913,3.63092,0.93769,3.40466,0,0,0
203,Gusto,CHE,DEF,4.2,1.38254,0.62604,0.86552,2.40594,0.80505,1.9369,2.38235,0.853,2.03215,1.50608,0.86802,1.3073,2.10283,0.86802,1.8253,2.12496,0.86802,1.8445,2.3615,0.86802,2.04983,1.69757,0.86802,1.47352,2.72167,0.86802,2.36246,2.33569,0.86802,2.02742,2.17471,0.86802,1.88769,2.63331,0.86802,2.28576,1.93077,0.86802,1.67595,1.90361,0.86802,1.65237,2.43719,0.86802,2.11552,2.49827,0.86802,2.16855,2.4803,0.86802,2.15295,0,0,0
204,Hall,NEW,DEF,4.3,1.40983,0.8195,1.15536,2.16359,0.8195,1.77307,2.05306,0.8195,1.68249,2.08381,0.8195,1.70769,1.51034,0.8195,1.23773,2.09072,0.8195,1.71335,1.53509,0.8195,1.25801,2.07572,0.8195,1.70106,2.07477,0.8195,1.70028,2.22444,0.8195,1.82293,1.94789,0.8195,1.59631,1.81961,0.8195,1.49118,1.72341,0.8195,1.41234,2.38927,0.8195,1.95801,2.17967,0.8195,1.78625,1.77265,0.8195,1.45269,1.83649,0.8195,1.50501,0,0,0
205,Hudson-Odoi,NFO,MID,4.7,2.07927,0.87802,1.82564,2.18891,0.87802,1.92191,2.31925,0.87802,2.03635,2.27707,0.87802,1.99931,2.11305,0.87802,1.8553,2.19147,0.87802,1.92416,2.17017,0.87802,1.90545,2.25778,0.87802,1.98238,2.24015,0.87802,1.96689,2.36269,0.87802,2.07449,2.17906,0.87802,1.91326,2.27473,0.87802,1.99726,2.188,0.87802,1.92111,2.11047,0.87802,1.85304,2.26507,0.87802,1.98877,2.22423,0.87802,1.95292,2.20054,0.87802,1.93212,0,0,0
206,James,CHE,DEF,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,Lukaku,CHE,FWD,6.8,3.03264,0,1.29756,3.39528,0,1.45273,3.18595,0,1.36316,2.93575,0,1.25611,3.13732,0,1.34236,3.02785,0,1.29552,3.35546,0,1.43569,3.09206,0,1.32299,3.32765,0,1.42379,3.37617,0,1.44455,3.43907,0,1.47146,3.45952,0,1.48022,3.09463,0,1.32409,3.3088,0,1.41572,3.4291,0,1.4672,3.36412,0,1.4394,3.38786,0,1.44955,0,0,0
208,Madueke,CHE,MID,5.3,2.10054,0.73638,1.54681,2.3609,0.73638,1.73853,2.2214,0.73638,1.6358,2.09473,0.73638,1.54253,2.3509,0.73638,1.73116,2.36388,0.73638,1.74072,2.49534,0.73638,1.83753,2.19528,0.73638,1.61657,2.45501,0.73638,1.80783,2.44311,0.73638,1.79907,2.41265,0.73638,1.77664,2.44981,0.73638,1.804,2.29785,0.73638,1.6921,2.22876,0.73638,1.64122,2.41844,0.73638,1.7809,2.40206,0.73638,1.76884,2.52975,0.73638,1.86287,0,0,0
209,Mount,MUN,MID,6.8,2.20786,0.23105,0.51013,2.30148,0.47701,1.09782,2.1224,0.63352,1.34459,2.28769,0.75442,1.72589,2.40751,0.78871,1.89883,2.02326,0.78871,1.59577,2.33109,0.78871,1.83857,2.31378,0.78871,1.82491,2.24997,0.78871,1.77458,2.13891,0.78871,1.68699,2.21196,0.78871,1.74461,2.25405,0.78871,1.7778,2.37408,0.78871,1.87247,2.336,0.78871,1.84244,2.17311,0.78871,1.71396,2.18808,0.78871,1.72577,2.18763,0.78871,1.72542,0,0,0
210,Mudryk,CHE,MID,6.3,2.89513,0.73139,2.11747,3.22911,0.73139,2.36173,2.97279,0.73139,2.17427,2.74145,0.73139,2.00507,3.07252,0.73139,2.24721,3.09144,0.73139,2.26105,3.28303,0.73139,2.40117,2.84573,0.73139,2.08133,3.22425,0.73139,2.35818,3.20691,0.73139,2.3455,3.16252,0.73139,2.31303,3.21668,0.73139,2.35264,2.99521,0.73139,2.19066,2.89451,0.73139,2.11701,3.17095,0.73139,2.3192,3.14709,0.73139,2.30174,3.33319,0.73139,2.43786,0,0,0
211,N.Jackson,CHE,FWD,6.9,3.79814,0,0,4.40404,0.30941,1.36266,4.03727,0.57188,2.30882,3.95751,0.90337,3.5751,4.39277,0.92087,4.04516,4.11954,0.92087,3.79354,4.743,0.92087,4.36767,3.83465,0.92087,3.5312,4.78136,0.92087,4.40299,4.39633,0.92087,4.04844,4.49972,0.92087,4.14364,4.5492,0.92087,4.18921,4.30789,0.92087,3.96699,4.24903,0.92087,3.91279,4.5754,0.92087,4.21334,4.34873,0.92087,4.0046,4.25581,0.92087,3.91904,0,0,0
212,Nkunku,CHE,FWD,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Pulisic,CHE,MID,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,M.Sarr,CHE,DEF,4.3,1.57989,9.0E-5,0.00015,2.52837,9.0E-5,0.00024,2.51007,9.0E-5,0.00024,1.6539,9.0E-5,0.00016,2.19775,9.0E-5,0.00021,2.21834,9.0E-5,0.00021,2.43847,9.0E-5,0.00023,1.82059,9.0E-5,0.00017,2.77366,9.0E-5,0.00026,2.41445,9.0E-5,0.00023,2.26464,9.0E-5,0.00021,2.69143,9.0E-5,0.00025,2.03762,9.0E-5,0.00019,2.01235,9.0E-5,0.00019,2.50891,9.0E-5,0.00024,2.56576,9.0E-5,0.00024,2.54903,9.0E-5,0.00024,0,0,0
215,Slonina,CHE,GK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Sterling,CHE,MID,7.1,4.09857,0.81148,3.32593,4.57003,0.81148,3.70851,4.24352,0.81148,3.44355,3.87719,0.81148,3.14628,4.42212,0.81148,3.58848,4.45278,0.81148,3.61337,4.76321,0.81148,3.86527,4.05465,0.81148,3.29029,4.66797,0.81148,3.78799,4.63987,0.81148,3.76519,4.56795,0.81148,3.70682,4.6557,0.81148,3.77803,4.29685,0.81148,3.48683,4.1337,0.81148,3.35443,4.58161,0.81148,3.71791,4.54294,0.81148,3.68653,4.84447,0.81148,3.93122,0,0,0
217,T.Silva,CHE,DEF,5,1.92171,0.89906,1.72773,3.16982,0.89906,2.84984,3.24892,0.89906,2.92096,2.29757,0.89906,2.06565,2.96536,0.89906,2.66602,2.98968,0.89906,2.68789,3.24969,0.89906,2.92165,2.51989,0.89906,2.26552,3.64559,0.89906,3.27759,3.22132,0.89906,2.89614,3.04437,0.89906,2.73706,3.54847,0.89906,3.19027,2.77623,0.89906,2.49598,2.74637,0.89906,2.46914,3.33288,0.89906,2.99645,3.40003,0.89906,3.05681,3.38028,0.89906,3.03905,0,0,0
218,Ziyech,CHE,MID,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Ahamada,CRY,MID,4.3,1.07651,0.52483,0.56498,1.05791,0.52483,0.55522,1.09237,0.52483,0.5733,1.09771,0.52483,0.57611,1.15089,0.52483,0.60401,1.11186,0.52483,0.58353,1.12402,0.52483,0.58991,1.16164,0.52483,0.60966,1.13677,0.52483,0.59661,1.12774,0.52483,0.59187,1.08974,0.52483,0.57192,1.07919,0.52483,0.56638,1.14114,0.52483,0.5989,1.12023,0.52483,0.58792,1.14771,0.52483,0.60235,1.1147,0.52483,0.58502,1.11486,0.52483,0.5851,0,0,0
220,Andersen,CRY,DEF,4.9,3.87617,0.94115,3.64806,2.81441,0.94115,2.64878,2.90388,0.94115,2.73299,3.13355,0.94115,2.94915,3.96592,0.94115,3.73253,2.89718,0.94115,2.72668,3.99886,0.94115,3.76353,3.51097,0.94115,3.30435,3.68373,0.94115,3.46695,3.46514,0.94115,3.26122,2.61822,0.94115,2.46414,2.3456,0.94115,2.20756,3.60657,0.94115,3.39433,3.39657,0.94115,3.19668,3.47837,0.94115,3.27367,3.59063,0.94115,3.37932,3.33932,0.94115,3.1428,0,0,0
221,J.Ayew,CRY,MID,5.4,3.4883,0.73091,2.54964,3.2783,0.86375,2.83162,3.40411,0.91345,3.1095,3.34772,0.93254,3.1219,3.55615,0.93348,3.31959,3.3311,0.93348,3.10951,3.40121,0.93348,3.17495,3.61815,0.93348,3.37746,3.47476,0.93348,3.24361,3.42271,0.93348,3.19502,3.20355,0.93348,2.99044,3.1427,0.93348,2.93364,3.49993,0.93348,3.26711,3.37936,0.93348,3.15455,3.53786,0.93348,3.30251,3.3475,0.93348,3.12482,3.34839,0.93348,3.12565,0,0,0
222,Clyne,CRY,DEF,4.4,2.84367,0.84732,2.40949,2.1554,0.84732,1.82631,2.22585,0.84732,1.886,2.38457,0.84732,2.0205,2.93389,0.84732,2.48594,2.23115,0.84732,1.89049,2.95554,0.84732,2.50429,2.63474,0.84732,2.23246,2.74834,0.84732,2.32872,2.6046,0.84732,2.20693,2.04772,0.84732,1.73507,1.86846,0.84732,1.58318,2.6976,0.84732,2.28573,2.55951,0.84732,2.16873,2.6133,0.84732,2.2143,2.68711,0.84732,2.27684,2.52187,0.84732,2.13683,0,0,0
223,C.Doucouré,CRY,MID,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61089,0.01,0.02611,2.61153,0.61331,1.60168,0,0,0
224,Ebiowei,CRY,MID,4.4,1.21324,0.00021,0.00025,1.16421,0.00021,0.00024,1.18821,0.00021,0.00024,1.17213,0.00021,0.00024,1.22188,0.00021,0.00025,1.16816,0.00021,0.00024,1.18489,0.00021,0.00024,1.23667,0.00021,0.00025,1.20245,0.00021,0.00025,1.19002,0.00021,0.00024,1.13771,0.00021,0.00023,1.12319,0.00021,0.00023,1.20846,0.00021,0.00025,1.17968,0.00021,0.00024,1.21751,0.00021,0.00025,1.17207,0.00021,0.00024,1.17229,0.00021,0.00024,0,0,0
225,Edouard,CRY,FWD,5.4,3.36118,0.58111,1.95321,3.13871,0.58111,1.82394,3.0132,0.58111,1.751,3.42687,0.58111,1.99139,3.43894,0.58111,1.9984,3.23248,0.58111,1.87842,3.74377,0.58111,2.17554,3.41462,0.58111,1.98427,3.16461,0.58111,1.83899,3.14358,0.58111,1.82677,2.9472,0.58111,1.71265,2.86898,0.58111,1.66719,3.30834,0.58111,1.92251,3.2143,0.58111,1.86786,3.1948,0.58111,1.85653,3.21209,0.58111,1.86658,3.15802,0.58111,1.83516,0,0,0
226,Eze,CRY,MID,6,4.14707,0.93805,3.89014,3.90765,0.93805,3.66555,4.05376,0.93805,3.80261,3.95587,0.93805,3.71079,4.25858,0.93805,3.99474,3.95134,0.93805,3.70654,4.04705,0.93805,3.79632,4.34322,0.93805,4.07414,4.14746,0.93805,3.89051,4.07641,0.93805,3.82385,3.7772,0.93805,3.54319,3.69414,0.93805,3.46527,4.18183,0.93805,3.92275,4.01722,0.93805,3.76834,4.23361,0.93805,3.97131,3.97373,0.93805,3.72754,3.97495,0.93805,3.72868,0,0,0
227,Guaita,CRY,GK,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Guéhi,CRY,DEF,4.4,4.01018,0.94091,3.77322,2.96001,0.94091,2.78511,3.05939,0.94091,2.87861,3.29698,0.94091,3.10217,4.12887,0.94091,3.8849,3.06078,0.94091,2.87991,4.16179,0.94091,3.91587,3.67419,0.94091,3.45708,3.84685,0.94091,3.61954,3.6284,0.94091,3.41399,2.78199,0.94091,2.6176,2.50953,0.94091,2.36124,3.76974,0.94091,3.54698,3.55986,0.94091,3.34951,3.64161,0.94091,3.42643,3.7538,0.94091,3.53199,3.50265,0.94091,3.29567,0,0,0
229,Hughes,CRY,MID,4.9,2.14306,0.7842,1.68058,2.0953,0.7842,1.64313,2.18564,0.7842,1.71397,2.19082,0.7842,1.71803,2.30631,0.7842,1.8086,2.19215,0.7842,1.71908,2.22771,0.7842,1.74697,2.33775,0.7842,1.83326,2.26502,0.7842,1.77622,2.23862,0.7842,1.75552,2.12745,0.7842,1.66834,2.09659,0.7842,1.64414,2.27779,0.7842,1.78623,2.21663,0.7842,1.73827,2.29703,0.7842,1.80132,2.20047,0.7842,1.7256,2.20092,0.7842,1.72596,0,0,0
230,Johnstone,CRY,GK,4.5,3.53579,0.7,2.47505,3.51685,0.7,2.46179,3.51304,0.7,2.45913,3.71354,0.7,2.59948,3.44845,0.7,2.41391,3.45846,0.7,2.42092,3.41373,0.7,2.38961,3.28952,0.7,2.30266,3.50778,0.7,2.45545,3.50509,0.7,2.45356,3.42654,0.7,2.39858,3.47245,0.7,2.43071,3.69871,0.7,2.5891,3.36809,0.7,2.35766,3.58479,0.7,2.50935,3.54563,0.7,2.48194,3.41777,0.7,2.39244,0,0,0
231,Lerma,CRY,MID,4.7,3.46711,0.93361,3.23694,3.34477,0.93361,3.12273,3.50967,0.93361,3.27667,3.47927,0.93361,3.2483,3.71211,0.93361,3.46568,3.48272,0.93361,3.25152,3.55418,0.93361,3.31823,3.7753,0.93361,3.52467,3.62915,0.93361,3.38822,3.57609,0.93361,3.33869,3.35271,0.93361,3.13013,3.29069,0.93361,3.07224,3.65481,0.93361,3.41218,3.53191,0.93361,3.29744,3.69346,0.93361,3.44827,3.49944,0.93361,3.26712,3.50034,0.93361,3.26797,0,0,0
232,Mateta,CRY,FWD,4.9,2.55468,0.92492,2.36288,2.40563,0.92492,2.22502,2.33437,0.92492,2.15911,2.67413,0.92492,2.47337,2.69307,0.92492,2.49088,2.53339,0.92492,2.34319,2.92883,0.92492,2.70894,2.67426,0.92492,2.47348,2.48091,0.92492,2.29464,2.46464,0.92492,2.2796,2.31276,0.92492,2.13912,2.25226,0.92492,2.08317,2.59207,0.92492,2.39746,2.51934,0.92492,2.33019,2.50425,0.92492,2.31624,2.51763,0.92492,2.32861,2.47581,0.92492,2.28993,0,0,0
233,Matthews,CRY,GK,3.9,3.11883,0.00265,0.00826,3.10226,0.00265,0.00822,3.09893,0.00265,0.00821,3.27435,0.00265,0.00867,3.04241,0.00265,0.00806,3.05117,0.00265,0.00808,3.01204,0.00265,0.00798,2.90336,0.00265,0.00769,3.09433,0.00265,0.00819,3.09197,0.00265,0.00819,3.02325,0.00265,0.00801,3.06341,0.00265,0.00811,3.26138,0.00265,0.00864,2.97211,0.00265,0.00787,3.1617,0.00265,0.00837,3.12744,0.00265,0.00828,3.01557,0.00265,0.00799,0,0,0
234,Mitchell,CRY,DEF,4.6,3.54599,0.93677,3.32177,2.60998,0.93677,2.44495,2.69328,0.93677,2.52298,2.89866,0.93677,2.71538,3.63734,0.93677,3.40735,2.69188,0.93677,2.52167,3.66648,0.93677,3.43465,3.23487,0.93677,3.03033,3.3877,0.93677,3.1735,3.19433,0.93677,2.99235,2.4451,0.93677,2.29049,2.20392,0.93677,2.06457,3.31944,0.93677,3.10955,3.13366,0.93677,2.93552,3.20603,0.93677,3.00331,3.30534,0.93677,3.09634,3.08302,0.93677,2.88808,0,0,0
235,O'Brien,CRY,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,Olise,CRY,MID,5.9,4.80852,0.08,0.38468,4.3472,0.31,1.34764,4.39703,0.64,2.81411,4.23843,0.84887,3.59787,4.55059,0.90986,4.14039,4.21354,0.93594,3.94364,4.31854,0.93594,4.04191,4.64344,0.93594,4.346,4.42869,0.93594,4.145,4.35074,0.93594,4.07205,4.02251,0.93594,3.76484,3.93139,0.93594,3.67956,4.46639,0.93594,4.18029,4.28581,0.93594,4.01128,4.52319,0.93594,4.23345,4.2381,0.93594,3.96663,4.23943,0.93594,3.96787,0,0,0
237,Plange,CRY,FWD,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,C.Richards,CRY,DEF,3.9,2.48416,0.87228,2.16687,1.84586,0.87228,1.6101,1.9106,0.87228,1.66657,2.05601,0.87228,1.79341,2.56343,0.87228,2.23603,1.91263,0.87228,1.66834,2.58349,0.87228,2.25352,2.28639,0.87228,1.99437,2.3916,0.87228,2.08614,2.25849,0.87228,1.97003,1.74276,0.87228,1.52017,1.57675,0.87228,1.37536,2.34461,0.87228,2.04515,2.21673,0.87228,1.9336,2.26654,0.87228,1.97705,2.3349,0.87228,2.03668,2.18187,0.87228,1.90319,0,0,0
239,Riedewald,CRY,MID,4.3,1.4765,0.14092,0.20807,1.4204,0.14092,0.20017,1.44786,0.14092,0.20404,1.42946,0.14092,0.20144,1.48639,0.14092,0.20947,1.42492,0.14092,0.2008,1.44407,0.14092,0.2035,1.50332,0.14092,0.21185,1.46416,0.14092,0.20633,1.44994,0.14092,0.20433,1.39008,0.14092,0.19589,1.37346,0.14092,0.19355,1.47103,0.14092,0.2073,1.4381,0.14092,0.20266,1.48139,0.14092,0.20876,1.4294,0.14092,0.20143,1.42964,0.14092,0.20147,0,0,0
